,Objname,ObsSMA,ObsEcc,ObsSin(Inc),PropSMA,PropEcc,PropSin(Inc),0_2PE_a,0_2PE_e,0_2PE_sinI,1_3PE_a,1_3PE_e,1_3PE_sinI,2_4PE_a,2_4PE_e,2_4PE_sinI,3_5PE_a,3_5PE_e,3_5PE_sinI,4_6PE_a,4_6PE_e,4_6PE_sinI,RMS_err_a,RMS_err_e,RMS_err_sinI,Delta_a,Delta_e,Delta_sinI
0,1,2.7670978784734412,0.11825416657964645,0.1696648022368416,2.7670978784734412,0.11499970631102602,0.16744402100782352,2.767101343980532,0.11506642326660844,0.1674450209415397,2.767080667387307,0.11523434863345454,0.16744542189460482,2.767077694555848,0.11475957555675377,0.16746895452106597,2.767097511135263,0.11525816726670472,0.16744342830715353,2.7671143449598863,0.11483785544409253,0.16747356508984856,1.404921256087846e-05,0.00020502132548672457,1.7308070433235647e-05,1.646648644504367e-05,0.00025846095567870486,2.954408202504588e-05
1,2,2.771147903794845,0.287040409440543,0.5787844351767852,2.771147903794845,0.2680479631571863,0.5379764466189215,2.7706122836797773,0.2702267725530229,0.5387144731140973,2.770686775652103,0.2703478366175234,0.5385872098485663,2.771236713504386,0.2700408569051498,0.5385038633492581,2.771570553998335,0.2700285769398773,0.5385229566305543,2.771593179179343,0.2698683405367954,0.5385654756086667,0.00042055168499306896,0.0020613034016368588,0.000606879161164994,0.0004452753844979007,0.002299873460337054,0.0007380264951757365
2,3,2.66931303620957,0.23599889212455485,0.2321922254783941,2.66931303620957,0.23348464790690615,0.2282446649943259,2.6693199099072706,0.23338747771594967,0.22817007998306083,2.669312179729669,0.23341806658456019,0.22818360439424484,2.669309950832363,0.23344574807177915,0.2281918277770255,2.669317904512242,0.2334380049710283,0.22819833450779792,2.6693099703910295,0.23342241996866314,0.2281946268674228,4.256769776232573e-06,6.547701189584988e-05,5.785053231494938e-05,6.873697700804371e-06,-3.8899835127004234e-05,-4.633048652799565e-05
3,4,2.3615125295101964,0.10410549290302083,0.11399011742456219,2.3615125295101964,0.09979462047262941,0.11119832039941226,2.3615129720016563,0.09913865335462094,0.11110214960231908,2.3615123504642273,0.09946699707769703,0.11119422635072437,2.361512119058187,0.0997585380259347,0.11118939647973566,2.361512210458212,0.09999767092075501,0.1111779825414861,2.3615124751377783,0.1003332929090535,0.11128323170178181,3.1656832806867294e-07,0.0004172120252394246,5.8255948238283775e-05,4.4249145991770433e-07,0.0005386724364240952,8.491130236955302e-05
4,5,2.577346230883708,0.19031297050722204,0.08049054387581404,2.577346230883708,0.17729286475172557,0.04317831104457573,2.57759265729694,0.16046556915734383,0.06697095337455602,2.577705062872248,0.1825709271449275,0.05249166223988367,2.5776968121103865,0.17725567167862338,0.05569538725755457,2.5774089053857523,0.16626292919337077,0.06071736985570174,2.576750989627867,0.21197294889190413,0.07662802681196809,0.0003662332086251391,0.01808526979264198,0.021147139784616308,0.00035883198854014253,0.03468008414017856,0.03344971576739236
5,6,2.4252753833877345,0.1648115749611458,0.25240140089066,2.4252753833877345,0.15842968273785743,0.22999840810078517,2.4252684111814644,0.16073697478625704,0.24546709769322236,2.4252729104807256,0.16371023442258367,0.24585948265946117,2.4252778462164923,0.16503606441261823,0.24641324838719117,2.425277428248793,0.165225413774163,0.24655125730251387,2.425279385604058,0.16420010310683752,0.24627717160565926,4.024714824409381e-06,0.005591633269033934,0.01612014877992174,4.002216323684138e-06,0.006795731036305569,0.016552849201728698
6,7,2.3860527679424925,0.21530182382970572,0.11407863960078071,2.3860527679424925,0.212036296933434,0.11065392141347469,2.386011905699606,0.21109960259359056,0.10914495266740759,2.3860177095422537,0.21189417878859962,0.1105442086629416,2.3860141698467965,0.21195156050023856,0.1104806136583395,2.3860377243683026,0.21164524418195813,0.1102928010307935,2.3861321315754402,0.21428635635889814,0.11365614494847856,4.671942352269671e-05,0.0011063872549025011,0.0015141210801746204,7.936363294769322e-05,0.002250059425464135,0.003002223535003873
7,8,2.201431637606253,0.15460761092022374,0.1012431569810691,2.201431637606253,0.14627688251337367,0.09212174363112675,2.201430055185438,0.15261656864400305,0.09615662920086183,2.201430667810187,0.15440912486372926,0.09743543913913526,2.2014303569124123,0.15339244563653728,0.09833691803722609,2.20143297220328,0.15262765051897853,0.09881641766817008,2.2014346008051446,0.153146763968673,0.0978065972025638,1.7689790080564943e-06,0.006992621109575682,0.0056618066904807135,2.9631988915923557e-06,0.00813224235035559,0.006694674037043324
8,9,2.3864364039615933,0.13107583945381585,0.08476925028791032,2.3864364039615933,0.12787915252875987,0.0814819147991073,2.386438847325168,0.1273439641758657,0.08243739239378939,2.3864368407468177,0.1276702260473496,0.08516479168107284,2.3864355707309444,0.1278840012915019,0.08143438035267536,2.3864361994382612,0.12810251895833538,0.08151344503978306,2.386434963094595,0.12815260503985745,0.08148140681410052,1.339627388783728e-06,0.0003015855420589916,0.001701750481085823,2.4433635745779725e-06,0.0002734525110975883,0.003682876881965544
9,10,3.1416205593761086,0.13805159789888066,0.0911779932297734,3.1416205593761086,0.13551495956623522,0.08869862233264311,3.1416398916006054,0.13574059003002226,0.08867464680423624,3.1415264014493864,0.13568317397417393,0.08867342020500764,3.141798249435615,0.1356045428618208,0.08865782542039019,3.141867572922913,0.13523468974839103,0.08864478373187118,3.1414215206051277,0.13545382248369217,0.08863458902916176,0.00016819353850518797,0.00018412999415151586,4.4436966901288174e-05,0.0002470135468044532,0.000225630463787041,-2.397552840686934e-05
